Timestamp,Signal Strength
1681484431.2780344,-50
1681484432.4368513,-50
1681484433.5938377,-50
1681484434.7518716,-50
1681484435.9155984,-50
1681484437.0787284,-50
1681484438.2165673,-50
1681484439.3596337,-50
1681484440.528339,-50
1681484441.6717343,-50
1681484442.8197951,-50
1681484443.9487793,-50
1681484445.1177988,-50
1681484446.280116,-50
1681484447.4390051,-50
1681484448.5334668,-50
1681484449.8925526,-50
1681484450.968076,-50
1681484452.112299,-50
1681484453.230131,-50
1681484454.3728955,-50
1681484455.5584066,-50
1681484456.71247,-51
1681484457.8417802,-51
1681484459.0092347,-51
1681484460.1676357,-51
1681484461.285916,-51
1681484462.4185627,-51
1681484463.5800228,-51
1681484464.7256927,-50
1681484465.8864284,-50
1681484467.0049317,-50
1681484468.1521797,-50
1681484469.3079727,-50
1681484470.4312315,-50
1681484471.5845034,-50
1681484472.7353563,-50
1681484473.8943818,-50
1681484475.0689285,-50
1681484476.2149575,-50
1681484477.359428,-49
1681484478.5116293,-49
1681484479.6506724,-49
1681484480.810623,-49
1681484481.9478335,-49
1681484483.028733,-49
1681484484.1917188,-49
1681484485.3540332,-50
1681484486.4833703,-50
1681484487.6293645,-50
1681484488.7657304,-50
1681484489.9308217,-50
1681484491.087908,-50
1681484492.1712546,-50
1681484493.2342415,-51
1681484494.4010165,-51
1681484495.5179846,-51
1681484496.669297,-51
1681484497.8915377,-51

